Member_number,itemDescription,Date,Category
1281,whole milk,01-01-2024,Meat
4955,syrup,01-01-2024,Beverages
8817,cream cheese ,01-01-2024,Other
2939,butter,01-01-2024,Other
1165,fruit/vegetable juice,01-01-2024,Beverages
3378,rolls/buns,01-01-2024,Other
7102,whole milk,01-01-2024,Other
7491,bottled beer,01-01-2024,Other
7932,bags,01-01-2024,Other
1632,frankfurter,01-01-2024,Dairy
1822,butter,01-01-2024,Other
1960,other vegetables,01-01-2024,Dairy
2510,spices,01-01-2024,Meat
5179,UHT-milk,01-01-2024,Other
1364,bathroom cleaner,01-01-2024,Other
7409,waffles,01-01-2024,Other
7680,pork,01-01-2024,Dairy
6809,curd,01-01-2024,Other
9958,turkey,01-01-2024,Canned Goods
4477,pip fruit,01-01-2024,Other
4569,UHT-milk,01-01-2024,Other
9332,soda,01-01-2024,Other
6592,cream cheese ,01-01-2024,Other
4288,whole milk,01-01-2024,Other
6901,dessert,01-01-2024,Other
7484,newspapers,01-01-2024,Other
3696,chocolate,01-01-2024,Meat
4027,liquor,01-01-2024,Beverages
9327,pip fruit,01-01-2024,Dairy
5782,coffee,01-01-2024,Beverages
9862,chicken,01-01-2024,Other
7080,whipped/sour cream,01-01-2024,Other
7216,beef,01-01-2024,Other
7977,citrus fruit,01-01-2024,Other
6850,canned beer,01-01-2024,Other
6321,citrus fruit,01-01-2024,Dairy
8559,curd,01-01-2024,Meat
7276,pip fruit,01-01-2024,Other
3803,bottled beer,01-01-2024,Other
3716,shopping bags,01-01-2024,Other
5654,sugar,01-01-2024,Dairy
7078,dog food,01-01-2024,Beverages
6918,coffee,01-01-2024,Other
2719,frozen meals,01-01-2024,Other
5764,whole milk,01-01-2024,Beverages
9747,specialty bar,01-01-2024,Other
6873,semi-finished bread,01-01-2024,Other
8426,shopping bags,01-01-2024,Other
1011,chocolate,01-01-2024,Dairy
5221,candy,01-01-2024,Snacks
9249,soda,01-01-2024,Other
1773,pasta,01-01-2024,Meat
3064,dental care,01-01-2024,Other
1882,pork,01-01-2024,Other
7857,chicken,01-01-2024,Other
1882,frankfurter,01-01-2024,Other
3811,tropical fruit,01-01-2024,Other
4884,soap,01-01-2024,Meat
1259,chocolate,01-01-2024,Other
9719,beef,01-01-2024,Meat
5636,soda,01-01-2024,Other
1960,photo/film,01-01-2024,Other
6614,beef,01-01-2024,Other
5654,ice cream,01-01-2024,Other
2798,other vegetables,01-01-2024,Other
3119,berries,01-01-2024,Other
4595,sliced cheese,01-01-2024,Other
1296,frozen vegetables,01-01-2024,Other
3907,grapes,01-01-2024,Other
7078,specialty chocolate,01-01-2024,Dairy
3864,napkins,01-01-2024,Other
4621,pip fruit,01-01-2024,Other
3303,whole milk,01-01-2024,Other
7706,soda,01-01-2024,Dairy
4264,whole milk,01-01-2024,Other
3033,other vegetables,01-01-2024,Other
5976,whole milk,01-01-2024,Meat
1699,pastry,01-01-2024,Beverages
8494,jam,01-01-2024,Other
6185,butter,01-01-2024,Other
2782,domestic eggs,01-01-2024,Beverages
8218,chewing gum,01-01-2024,Dairy
6285,beef,01-01-2024,Beverages
2649,soda,01-01-2024,Dairy
9925,newspapers,01-01-2024,Other
2849,newspapers,01-01-2024,Other
7636,tropical fruit,01-01-2024,Other
5419,newspapers,01-01-2024,Meat
8333,frozen meals,01-01-2024,Dairy
7458,pork,01-01-2024,Other
9249,bottled water,01-01-2024,Other
6207,soda,01-01-2024,Other
8120,whole milk,01-01-2024,Other
8929,citrus fruit,01-01-2024,Other
6435,beverages,01-01-2024,Other
7621,specialty bar,01-01-2024,Dairy
2735,bottled beer,01-01-2024,Beverages
2829,hamburger meat,01-01-2024,Other
2968,yogurt,01-01-2024,Other
3351,pip fruit,01-01-2024,Dairy
7695,yogurt,01-01-2024,Other
8901,other vegetables,01-01-2024,Other
5388,soda,01-01-2024,Other
4126,grapes,01-01-2024,Dairy
6581,chocolate marshmallow,01-01-2024,Other
9432,semi-finished bread,01-01-2024,Other
9181,detergent,01-01-2024,Beverages
1323,soda,01-01-2024,Meat
3033,pot plants,01-01-2024,Meat
1209,other vegetables,01-01-2024,Beverages
2298,bottled water,01-01-2024,Other
5289,soda,01-01-2024,Meat
4190,canned beer,01-01-2024,Other
1004,turkey,01-01-2024,Dairy
7061,yogurt,01-01-2024,Beverages
2496,canned beer,01-01-2024,Other
2477,rolls/buns,01-01-2024,Other
5479,chocolate,01-01-2024,Other
3919,sweet spreads,01-01-2024,Meat
6614,turkey,01-01-2024,Other
8791,sugar,01-01-2024,Dairy
1444,newspapers,01-01-2024,Dairy
2805,chocolate,01-01-2024,Other
8184,yogurt,01-01-2024,Other
5564,pip fruit,01-01-2024,Beverages
4500,berries,01-01-2024,Other
9706,shopping bags,01-01-2024,Other
8245,other vegetables,01-01-2024,Other
6102,tropical fruit,01-01-2024,Other
8387,sausage,01-01-2024,Beverages
3046,pip fruit,01-01-2024,Other
6893,chocolate,01-01-2024,Other
3295,whole milk,01-01-2024,Other
2510,soda,01-01-2024,Beverages
3315,rolls/buns,01-01-2024,Other
2915,sausage,01-01-2024,Other
3423,beverages,01-01-2024,Other
4493,curd,01-01-2024,Other
7638,whole milk,01-01-2024,Beverages
8337,whole milk,01-01-2024,Other
4543,root vegetables,01-01-2024,Other
3933,soda,01-01-2024,Other
3694,ham,01-01-2024,Other
7135,butter,01-01-2024,Other
7363,chicken,01-01-2024,Beverages
9556,yogurt,01-01-2024,Other
7252,chocolate,01-01-2024,Other
2782,grapes,01-01-2024,Other
3647,butter,01-01-2024,Other
8191,frankfurter,01-01-2024,Dairy
8776,detergent,01-01-2024,Other
6295,sausage,01-01-2024,Dairy
9358,pastry,01-01-2024,Other
2505,chicken,01-01-2024,Other
9182,whole milk,01-01-2024,Other
5322,dishes,01-01-2024,Other
2215,other vegetables,01-01-2024,Other
7492,other vegetables,01-01-2024,Other
5667,packaged fruit/vegetables,01-01-2024,Other
3821,pip fruit,01-01-2024,Other
8503,light bulbs,01-01-2024,Dairy
6380,other vegetables,01-01-2024,Other
2271,oil,01-01-2024,Other
2895,frozen dessert,01-01-2024,Other
3919,shopping bags,01-01-2024,Dairy
5566,yogurt,01-01-2024,Dairy
5963,bottled beer,01-01-2024,Other
4264,cat food,01-01-2024,Other
9376,pork,01-01-2024,Other
9895,citrus fruit,01-01-2024,Other
9719,rolls/buns,01-01-2024,Other
1983,newspapers,01-01-2024,Beverages
6581,frozen vegetables,01-01-2024,Other
6895,sausage,01-01-2024,Other
1841,baking powder,01-01-2024,Other
5530,other vegetables,01-01-2024,Other
4952,bottled beer,01-01-2024,Other
1214,frozen vegetables,01-01-2024,Other
9728,pot plants,01-01-2024,Other
6505,candy,01-01-2024,Meat
9263,beef,01-01-2024,Other
8825,soda,01-01-2024,Meat
5685,dessert,01-01-2024,Other
7135,berries,01-01-2024,Beverages
1281,soda,01-01-2024,Other
3032,salt,01-01-2024,Other
9067,white bread,01-01-2024,Dairy
7249,beef,01-01-2024,Other
8763,other vegetables,01-01-2024,Beverages
5470,Instant food products,01-01-2024,Other
2037,bottled water,01-01-2024,Other
8150,margarine,01-01-2024,Other
9009,yogurt,01-01-2024,Other
6730,frankfurter,01-01-2024,Other
3685,dessert,01-01-2024,Other
9079,newspapers,01-01-2024,Canned Goods
3412,frankfurter,01-01-2024,Other
5693,onions,01-01-2024,Beverages
1360,tropical fruit,01-01-2024,Other
1707,other vegetables,01-01-2024,Other
9485,brown bread,01-01-2024,Other
2509,soda,01-01-2024,Other
5752,packaged fruit/vegetables,01-01-2024,Other
6176,candy,01-01-2024,Other
9530,soda,01-01-2024,Beverages
6853,soda,01-01-2024,Other
4569,long life bakery product,01-01-2024,Dairy
1665,whipped/sour cream,01-01-2024,Other
4965,soda,01-01-2024,Other
8379,newspapers,01-01-2024,Other
9783,newspapers,01-01-2024,Other
6784,sugar,01-01-2024,Other
9894,root vegetables,01-01-2024,Other
4168,yogurt,01-01-2024,Dairy
1188,spread cheese,01-01-2024,Other
1368,sausage,01-01-2024,Other
3798,whole milk,01-01-2024,Other
1735,specialty cheese,01-01-2024,Other
7645,white bread,01-01-2024,Dairy
1746,brown bread,01-01-2024,Other
7267,citrus fruit,01-01-2024,Dairy
5621,pip fruit,01-01-2024,Other
9035,other vegetables,01-01-2024,Other
6774,whole milk,01-01-2024,Other
6592,grapes,01-01-2024,Dairy
9894,baking powder,01-01-2024,Other
1319,chewing gum,01-01-2024,Other
9706,red/blush wine,01-01-2024,Other
6827,popcorn,01-01-2024,Other
1092,frozen meals,01-01-2024,Other
6551,soda,01-01-2024,Other
6196,brown bread,01-01-2024,Beverages
4338,berries,01-01-2024,Other
2069,rolls/buns,01-01-2024,Other
9022,rolls/buns,01-01-2024,Beverages
5310,sausage,01-01-2024,Beverages
3891,semi-finished bread,01-01-2024,Other
5470,salty snack,01-01-2024,Other
7838,pet care,01-01-2024,Other
2880,margarine,01-01-2024,Other
6700,tropical fruit,01-01-2024,Other
1609,butter,01-01-2024,Other
7904,other vegetables,01-01-2024,Other
2939,whole milk,01-01-2024,Other
6505,dessert,01-01-2024,Other
6843,cream cheese ,01-01-2024,Other
1188,other vegetables,01-01-2024,Other
1360,margarine,01-01-2024,Other
8941,soda,01-01-2024,Meat
6323,onions,01-01-2024,Other
7911,canned beer,01-01-2024,Other
5907,other vegetables,01-01-2024,Other
1424,pip fruit,01-01-2024,Other
8791,pasta,01-01-2024,Other
9375,frozen fish,01-01-2024,Other
1768,frankfurter,01-01-2024,Other
1040,specialty chocolate,01-01-2024,Other
3351,pastry,01-01-2024,Other
8763,canned beer,01-01-2024,Other
5815,soda,01-01-2024,Other
5198,other vegetables,01-01-2024,Other
5673,bottled beer,01-01-2024,Other
2880,rolls/buns,01-01-2024,Beverages
9878,yogurt,01-01-2024,Other
2174,grapes,01-01-2024,Canned Goods
8434,hamburger meat,01-01-2024,Other
2108,candy,01-01-2024,Snacks
4424,fruit/vegetable juice,01-01-2024,Beverages
1281,canned vegetables,01-01-2024,Other
9719,root vegetables,01-01-2024,Dairy
2544,other vegetables,01-01-2024,Other
5764,tropical fruit,01-01-2024,Other
5243,brown bread,01-01-2024,Other
3871,rolls/buns,01-01-2024,Dairy
2628,sausage,01-01-2024,Other
3864,misc. beverages,01-01-2024,Other
3373,liquor (appetizer),01-01-2024,Other
3536,pork,01-01-2024,Other
8386,whipped/sour cream,01-01-2024,Other
9338,shopping bags,01-01-2024,Dairy
1723,packaged fruit/vegetables,01-01-2024,Meat
5049,sausage,01-01-2024,Beverages
4433,onions,01-01-2024,Dairy
9828,meat,01-01-2024,Other
6918,rolls/buns,01-01-2024,Other
2298,cream cheese ,01-01-2024,Beverages
6458,bottled beer,01-01-2024,Beverages
6801,tropical fruit,01-01-2024,Other
6113,tropical fruit,01-01-2024,Other
2215,whipped/sour cream,01-01-2024,Other
7837,pastry,01-01-2024,Beverages
4520,grapes,01-01-2024,Beverages
9319,other vegetables,01-01-2024,Other
5142,grapes,01-01-2024,Other
6643,bottled water,01-01-2024,Other
3015,other vegetables,01-01-2024,Other
3968,shopping bags,01-01-2024,Beverages
4281,brown bread,01-01-2024,Meat
9416,yogurt,01-01-2024,Other
1939,bottled beer,01-01-2024,Beverages
7890,dessert,01-01-2024,Other
6381,pasta,01-01-2024,Other
1451,whole milk,01-01-2024,Beverages
3378,rolls/buns,01-01-2024,Other
9406,white bread,01-01-2024,Other
5907,dessert,01-01-2024,Other
7911,salt,01-01-2024,Other
9530,UHT-milk,01-01-2024,Other
2897,other vegetables,01-01-2024,Dairy
1841,brown bread,01-01-2024,Meat
6291,semi-finished bread,01-01-2024,Other
3712,yogurt,01-01-2024,Other
5310,other vegetables,01-01-2024,Dairy
8503,bottled water,01-01-2024,Snacks
7149,fruit/vegetable juice,01-01-2024,Other
9770,rolls/buns,01-01-2024,Other
6773,newspapers,01-01-2024,Other
5433,frozen dessert,01-01-2024,Meat
2472,dog food,01-01-2024,Other
6196,rolls/buns,01-01-2024,Other
7717,pork,01-01-2024,Other
3345,specialty bar,01-01-2024,Other
2825,bottled water,01-01-2024,Other
1699,whole milk,01-01-2024,Other
9740,rum,01-01-2024,Dairy
7890,root vegetables,01-01-2024,Other
9079,soda,01-01-2024,Meat
6295,rolls/buns,01-01-2024,Other
2649,tropical fruit,01-01-2024,Other
2693,soda,01-01-2024,Other
1243,other vegetables,01-01-2024,Other
2844,frankfurter,01-01-2024,Other
2397,root vegetables,01-01-2024,Other
8235,rolls/buns,01-01-2024,Other
2215,herbs,01-01-2024,Other
5236,whole milk,01-01-2024,Other
1092,other vegetables,01-01-2024,Other
8637,domestic eggs,01-01-2024,Other
4105,domestic eggs,01-01-2024,Other
5355,root vegetables,01-01-2024,Other
9327,whole milk,01-01-2024,Dairy
4317,napkins,01-01-2024,Other
3765,domestic eggs,01-01-2024,Other
7932,frankfurter,01-01-2024,Other
7021,dishes,01-01-2024,Other
8824,onions,01-01-2024,Other
4085,whole milk,01-01-2024,Other
4805,citrus fruit,01-01-2024,Other
8379,soda,01-01-2024,Other
3752,whole milk,01-01-2024,Other
9740,pork,01-01-2024,Other
7857,rolls/buns,01-01-2024,Other
5049,whipped/sour cream,01-01-2024,Other
5276,soda,01-01-2024,Other
1768,chicken,01-01-2024,Other
5386,white wine,01-01-2024,Other
6339,whipped/sour cream,01-01-2024,Other
7104,chocolate,01-01-2024,Other
6136,margarine,01-01-2024,Dairy
9303,white bread,01-01-2024,Meat
3829,soda,01-01-2024,Other
9140,white wine,01-01-2024,Beverages
8051,butter milk,01-01-2024,Other
5433,other vegetables,01-01-2024,Other
5177,candy,01-01-2024,Dairy
9250,whole milk,01-01-2024,Other
5577,pork,01-01-2024,Other
6381,shopping bags,01-01-2024,Beverages
9140,tropical fruit,01-01-2024,Other
6595,cleaner,01-01-2024,Other
7492,other vegetables,01-01-2024,Other
4105,soft cheese,01-01-2024,Dairy
4547,soda,01-01-2024,Beverages
3295,pastry,01-01-2024,Other
2968,bottled beer,01-01-2024,Other
6991,yogurt,01-01-2024,Beverages
2463,root vegetables,01-01-2024,Other
9310,soda,01-01-2024,Other
9556,chocolate,01-01-2024,Beverages
8057,rolls/buns,01-01-2024,Other
5815,bottled water,01-01-2024,Dairy
6311,other vegetables,01-01-2024,Other
7274,other vegetables,01-01-2024,Other
1665,newspapers,01-01-2024,Other
4433,sugar,01-01-2024,Meat
9729,brown bread,01-01-2024,Dairy
5250,butter,01-01-2024,Other
6184,salty snack,01-01-2024,Other
7621,shopping bags,01-01-2024,Other
5470,soap,01-01-2024,Dairy
1040,cream cheese ,01-01-2024,Other
4869,butter milk,01-01-2024,Canned Goods
5421,bottled beer,01-01-2024,Other
2677,other vegetables,01-01-2024,Other
5419,bottled water,01-01-2024,Other
2020,domestic eggs,01-01-2024,Beverages
7717,photo/film,01-01-2024,Other
1368,pet care,01-01-2024,Dairy
4031,sausage,01-01-2024,Other
7061,UHT-milk,01-01-2024,Meat
4869,frankfurter,01-01-2024,Other
5193,whipped/sour cream,01-01-2024,Other
7363,brandy,01-01-2024,Dairy
9432,chewing gum,01-01-2024,Other
7808,yogurt,01-01-2024,Other
8535,coffee,01-01-2024,Other
1644,root vegetables,01-01-2024,Other
4028,photo/film,01-01-2024,Other
4443,whole milk,01-01-2024,Other
5142,seasonal products,01-01-2024,Other
8551,meat,01-01-2024,Other
4569,other vegetables,01-01-2024,Other
6986,rolls/buns,01-01-2024,Other
4126,other vegetables,01-01-2024,Other
2922,liquor (appetizer),01-01-2024,Other
4117,rolls/buns,01-01-2024,Dairy
4033,whole milk,01-01-2024,Beverages
6526,pickled vegetables,01-01-2024,Other
1361,sausage,01-01-2024,Other
3968,pip fruit,01-01-2024,Other
7705,whole milk,01-01-2024,Other
8335,yogurt,01-01-2024,Other
5752,whipped/sour cream,01-01-2024,Beverages
2122,shopping bags,01-01-2024,Other
6313,whole milk,01-01-2024,Other
9111,sauces,01-01-2024,Other
5112,instant coffee,01-01-2024,Other
7193,frozen dessert,01-01-2024,Other
2897,chicken,01-01-2024,Other
4941,other vegetables,01-01-2024,Other
5430,softener,01-01-2024,Other
6801,canned vegetables,01-01-2024,Dairy
2665,other vegetables,01-01-2024,Other
3424,berries,01-01-2024,Other
6322,whole milk,01-01-2024,Meat
8867,whole milk,01-01-2024,Other
8817,yogurt,01-01-2024,Other
4356,domestic eggs,01-01-2024,Other
3613,UHT-milk,01-01-2024,Meat
1777,canned beer,01-01-2024,Other
6323,mayonnaise,01-01-2024,Other
3978,whole milk,01-01-2024,Beverages
3648,whole milk,01-01-2024,Other
6505,bottled water,01-01-2024,Other
8867,pip fruit,01-01-2024,Other
2510,whole milk,01-01-2024,Other
1618,yogurt,01-01-2024,Beverages
6921,yogurt,01-01-2024,Other
3731,citrus fruit,01-01-2024,Dairy
3119,newspapers,01-01-2024,Dairy
3864,butter,01-01-2024,Other
6983,salty snack,01-01-2024,Other
5645,dessert,01-01-2024,Dairy
1873,pork,01-01-2024,Other
6108,pip fruit,01-01-2024,Other
6857,butter milk,01-01-2024,Other
7566,napkins,01-01-2024,Other
6136,white bread,01-01-2024,Other
2643,sausage,01-01-2024,Other
6767,rolls/buns,01-01-2024,Other
4317,other vegetables,01-01-2024,Dairy
7458,berries,01-01-2024,Other
1504,yogurt,01-01-2024,Beverages
2340,other vegetables,01-01-2024,Other
6313,citrus fruit,01-01-2024,Beverages
5289,pip fruit,01-01-2024,Other
3086,soda,01-01-2024,Other
1210,ham,01-01-2024,Other
6595,soft cheese,01-01-2024,Other
4356,tropical fruit,01-01-2024,Other
2509,rolls/buns,01-01-2024,Other
3210,waffles,01-01-2024,Other
3245,pork,01-01-2024,Other
6843,whole milk,01-01-2024,Canned Goods
3647,fruit/vegetable juice,01-01-2024,Meat
1511,hamburger meat,01-01-2024,Other
1296,other vegetables,01-01-2024,Beverages
9440,ketchup,01-01-2024,Beverages
1609,curd cheese,01-01-2024,Other
3064,soft cheese,01-01-2024,Other
9747,margarine,01-01-2024,Other
1938,white bread,01-01-2024,Other
5255,yogurt,01-01-2024,Beverages
7035,yogurt,01-01-2024,Dairy
9402,root vegetables,01-01-2024,Meat
8257,specialty bar,01-01-2024,Dairy
6197,frozen meals,01-01-2024,Other
3855,sugar,01-01-2024,Other
9925,specialty chocolate,01-01-2024,Other
2634,soda,01-01-2024,Other
7135,tropical fruit,01-01-2024,Dairy
9025,whole milk,01-01-2024,Other
9740,napkins,01-01-2024,Other
3731,seasonal products,01-01-2024,Other
6824,cooking chocolate,01-01-2024,Other
3378,frozen fish,01-01-2024,Other
7953,other vegetables,01-01-2024,Other
6339,frankfurter,01-01-2024,Dairy
1361,rolls/buns,01-01-2024,Meat
4264,rolls/buns,01-01-2024,Other
3378,dessert,01-01-2024,Other
1209,newspapers,01-01-2024,Other
1919,frozen fish,01-01-2024,Beverages
8709,butter,01-01-2024,Dairy
7706,photo/film,01-01-2024,Other
1319,brandy,01-01-2024,Other
4031,tropical fruit,01-01-2024,Other
3666,root vegetables,01-01-2024,Other
3351,long life bakery product,01-01-2024,Other
2271,herbs,01-01-2024,Other
5833,bottled water,01-01-2024,Other
6827,pip fruit,01-01-2024,Other
2275,berries,01-01-2024,Other
1622,beef,01-01-2024,Other
4863,sausage,01-01-2024,Other
4443,soda,01-01-2024,Other
8094,other vegetables,01-01-2024,Other
1777,frozen vegetables,01-01-2024,Other
8791,chicken,01-01-2024,Meat
4952,whole milk,01-01-2024,Other
1665,pastry,01-01-2024,Other
4531,pork,01-01-2024,Other
6000,chicken,01-01-2024,Other
8213,butter,01-01-2024,Other
1613,sausage,01-01-2024,Other
6322,white wine,01-01-2024,Other
3803,specialty chocolate,01-01-2024,Other
9079,rolls/buns,01-01-2024,Other
3372,pip fruit,01-01-2024,Other
4900,beef,01-01-2024,Other
2441,domestic eggs,01-01-2024,Other
3756,pastry,01-01-2024,Other
3293,whipped/sour cream,01-01-2024,Other
1151,other vegetables,01-01-2024,Other
5833,detergent,01-01-2024,Other
1111,rolls/buns,01-01-2024,Other
3798,napkins,01-01-2024,Meat
7634,yogurt,01-01-2024,Dairy
9193,misc. beverages,01-01-2024,Dairy
2939,frankfurter,01-01-2024,Other
4264,sliced cheese,01-01-2024,Other
4621,soda,01-01-2024,Other
6381,root vegetables,01-01-2024,Meat
7267,rolls/buns,01-01-2024,Other
1767,canned fish,01-01-2024,Other
8191,rolls/buns,01-01-2024,Snacks
5931,white wine,01-01-2024,Dairy
8825,semi-finished bread,01-01-2024,Other
8776,cereals,01-01-2024,Meat
9917,margarine,01-01-2024,Other
4031,other vegetables,01-01-2024,Other
7492,salty snack,01-01-2024,Other
2081,yogurt,01-01-2024,Other
4281,margarine,01-01-2024,Other
8426,frozen fruits,01-01-2024,Other
7605,tropical fruit,01-01-2024,Other
2785,tropical fruit,01-01-2024,Other
5669,onions,01-01-2024,Other
1840,whole milk,01-01-2024,Other
5255,cat food,01-01-2024,Other
6986,liquor (appetizer),01-01-2024,Other
5673,dishes,01-01-2024,Beverages
4782,beef,01-01-2024,Other
2255,waffles,01-01-2024,Beverages
7958,frozen vegetables,01-01-2024,Other
3705,yogurt,01-01-2024,Other
1767,yogurt,01-01-2024,Other
9025,flour,01-01-2024,Beverages
7741,hamburger meat,01-01-2024,Dairy
9683,rice,01-01-2024,Other
3746,white bread,01-01-2024,Other
1356,detergent,01-01-2024,Dairy
8057,whole milk,01-01-2024,Other
8599,cat food,01-01-2024,Other
6252,curd,01-01-2024,Beverages
5373,soda,01-01-2024,Other
4621,root vegetables,01-01-2024,Other
4901,newspapers,01-01-2024,Other
5986,whipped/sour cream,01-01-2024,Beverages
2695,beef,01-01-2024,Beverages
4478,berries,01-01-2024,Other
2901,sliced cheese,01-01-2024,Dairy
1996,jam,01-01-2024,Other
9416,coffee,01-01-2024,Other
9517,packaged fruit/vegetables,01-01-2024,Other
4621,pet care,01-01-2024,Other
9587,pastry,01-01-2024,Meat
6699,white bread,01-01-2024,Beverages
3451,frankfurter,01-01-2024,Other
2435,beef,01-01-2024,Other
3768,hard cheese,01-01-2024,Other
8333,other vegetables,01-01-2024,Beverages
2122,meat,01-01-2024,Other
7216,pip fruit,01-01-2024,Other
9894,pip fruit,01-01-2024,Dairy
4313,whole milk,01-01-2024,Dairy
9440,other vegetables,01-01-2024,Other
6873,cookware,01-01-2024,Dairy
3082,pastry,01-01-2024,Dairy
2497,whipped/sour cream,01-01-2024,Other
9310,sliced cheese,01-01-2024,Dairy
7974,baking powder,01-01-2024,Other
8220,toilet cleaner,01-01-2024,Other
5685,hamburger meat,01-01-2024,Other
3462,hard cheese,01-01-2024,Meat
4027,domestic eggs,01-01-2024,Other
6895,sugar,01-01-2024,Other
4569,chocolate,01-01-2024,Other
2081,domestic eggs,01-01-2024,Other
7974,frozen meals,01-01-2024,Other
2316,citrus fruit,01-01-2024,Other
9169,other vegetables,01-01-2024,Other
5450,mustard,01-01-2024,Beverages
7299,frozen dessert,01-01-2024,Canned Goods
9992,canned vegetables,01-01-2024,Dairy
8535,whole milk,01-01-2024,Other
2368,whole milk,01-01-2024,Beverages
2275,sausage,01-01-2024,Beverages
8517,newspapers,01-01-2024,Other
1448,other vegetables,01-01-2024,Other
4281,beverages,01-01-2024,Other
3685,newspapers,01-01-2024,Meat
9681,white bread,01-01-2024,Other
7943,rolls/buns,01-01-2024,Dairy
9332,pork,01-01-2024,Other
2339,baking powder,01-01-2024,Other
1074,coffee,01-01-2024,Snacks
3164,whipped/sour cream,01-01-2024,Dairy
3705,shopping bags,01-01-2024,Other
2495,root vegetables,01-01-2024,Meat
8191,rolls/buns,01-01-2024,Other
5470,candy,01-01-2024,Other
1618,onions,01-01-2024,Other
7706,rolls/buns,01-01-2024,Other
2630,misc. beverages,01-01-2024,Other
8013,other vegetables,01-01-2024,Other
5717,female sanitary products,01-01-2024,Other
5764,tidbits,01-01-2024,Other
6643,pet care,01-01-2024,Other
3933,frozen meals,01-01-2024,Beverages
3330,rolls/buns,01-01-2024,Other
1505,bottled beer,01-01-2024,Other
6378,yogurt,01-01-2024,Meat
1321,yogurt,01-01-2024,Dairy
7345,pip fruit,01-01-2024,Other
6170,pip fruit,01-01-2024,Other
2916,misc. beverages,01-01-2024,Other
7167,other vegetables,01-01-2024,Other
5433,soda,01-01-2024,Other
3689,cling film/bags,01-01-2024,Other
3308,coffee,01-01-2024,Meat
4058,chocolate,01-01-2024,Beverages
5433,pip fruit,01-01-2024,Other
4033,citrus fruit,01-01-2024,Other
4915,instant coffee,01-01-2024,Meat
5236,napkins,01-01-2024,Other
1577,bottled beer,01-01-2024,Dairy
5031,brandy,01-01-2024,Dairy
9357,sausage,01-01-2024,Other
2255,butter milk,01-01-2024,Other
8013,other vegetables,01-01-2024,Other
1777,canned beer,01-01-2024,Other
9640,coffee,01-01-2024,Other
3648,instant coffee,01-01-2024,Meat
6643,coffee,01-01-2024,Other
2922,shopping bags,01-01-2024,Dairy
3705,specialty chocolate,01-01-2024,Beverages
4476,frozen meals,01-01-2024,Other
8944,rolls/buns,01-01-2024,Beverages
5859,tropical fruit,01-01-2024,Other
9407,frozen vegetables,01-01-2024,Dairy
9734,dish cleaner,01-01-2024,Other
4190,citrus fruit,01-01-2024,Other
5479,domestic eggs,01-01-2024,Other
7276,whole milk,01-01-2024,Other
7131,chicken,01-01-2024,Dairy
1444,whole milk,01-01-2024,Other
7081,whole milk,01-01-2024,Other
1612,rolls/buns,01-01-2024,Other
7211,newspapers,01-01-2024,Other
3368,whole milk,01-01-2024,Other
8160,semi-finished bread,01-01-2024,Other
9801,pot plants,01-01-2024,Other
1938,rolls/buns,01-01-2024,Other
1163,soda,01-01-2024,Other
2368,onions,01-01-2024,Other
9216,cream cheese ,01-01-2024,Other
6100,tropical fruit,01-01-2024,Dairy
3293,berries,01-01-2024,Other
6991,bottled water,01-01-2024,Meat
5669,pastry,01-01-2024,Other
7458,citrus fruit,01-01-2024,Dairy
7856,chicken,01-01-2024,Other
7636,pork,01-01-2024,Other
8129,beverages,01-01-2024,Other
3731,shopping bags,01-01-2024,Other
1613,shopping bags,01-01-2024,Other
9716,other vegetables,01-01-2024,Other
6252,red/blush wine,01-01-2024,Other
2069,hamburger meat,01-01-2024,Other
6801,salty snack,01-01-2024,Other
5636,root vegetables,01-01-2024,Other
6260,curd,01-01-2024,Other
1465,yogurt,01-01-2024,Other
7926,yogurt,01-01-2024,Dairy
2275,chocolate,01-01-2024,Other
9217,whole milk,01-01-2024,Other
7638,misc. beverages,01-01-2024,Other
6184,candy,01-01-2024,Other
6246,root vegetables,01-01-2024,Other
6108,frankfurter,01-01-2024,Other
3891,root vegetables,01-01-2024,Meat
8413,pastry,01-01-2024,Other
3442,newspapers,01-01-2024,Other
9888,sugar,01-01-2024,Other
8637,flower (seeds),01-01-2024,Dairy
3933,soda,01-01-2024,Beverages
2695,tropical fruit,01-01-2024,Other
5379,shopping bags,01-01-2024,Other
1769,fruit/vegetable juice,01-01-2024,Dairy
9917,fruit/vegetable juice,01-01-2024,Dairy
8213,salty snack,01-01-2024,Other
7725,whole milk,01-01-2024,Other
2174,pip fruit,01-01-2024,Other
2749,pickled vegetables,01-01-2024,Dairy
9616,other vegetables,01-01-2024,Dairy
4621,other vegetables,01-01-2024,Meat
6339,specialty chocolate,01-01-2024,Other
3811,citrus fruit,01-01-2024,Other
8066,soda,01-01-2024,Other
1074,canned beer,01-01-2024,Other
9828,citrus fruit,01-01-2024,Other
2397,rolls/buns,01-01-2024,Other
8416,citrus fruit,01-01-2024,Other
8245,sausage,01-01-2024,Meat
1767,shopping bags,01-01-2024,Other
5168,misc. beverages,01-01-2024,Other
2726,other vegetables,01-01-2024,Other
2069,berries,01-01-2024,Other
9491,soda,01-01-2024,Other
2634,canned fish,01-01-2024,Other
9305,turkey,01-01-2024,Beverages
